#SPECTRUM - MS
#20190701-APO-6-25-3.RAW
#FTMS + p NSI Full ms2 1000.0000@hcd300.00 [1000.0000-20000.0000]
#Scan #: 1277-1613
#RT: 5.36-6.79
#AV: 337
#Data points: 51778
Mass	Background
1017.456356	29.408887
1017.487136	29.143446
1017.517918	23.922605
1017.548701	18.250339
1017.579486	20.593163
1017.610272	22.934141
1017.641060	26.400179
1017.671849	26.109447
1017.702639	26.239291
1017.733431	32.001365
1017.764224	36.085759
1017.795019	34.184580
1017.825815	29.869382
1017.856612	30.482921
1017.887411	34.130733
1017.918211	37.856223
1017.949012	34.603093
1017.979815	24.362891
1018.010620	11.841136
1018.041425	7.567736
1018.072232	14.582752
1018.103041	23.864486
1018.133851	26.453395
1018.164662	21.850349
1018.195475	16.652203
1018.226289	22.465117
1018.257105	29.145529
1018.287921	35.931100
1018.318740	34.072066
1018.349559	29.957886
1018.380381	30.294735
1018.411203	32.670945
1018.442027	36.621181
1018.472852	38.363783
1018.503679	43.815607
1018.534507	49.155086
1018.565337	44.586925
1018.596168	35.465027
1018.627000	29.300022
1018.657834	25.458572
1018.688669	27.152939
1018.719505	28.139104
1018.750343	26.731992
1018.781182	29.094826
1018.812023	33.885164
1018.842865	38.286414
1018.873709	37.233284
1018.904554	31.123657
1018.935400	23.446367
1018.966248	21.903879
1018.997097	23.407994
1019.027947	23.222579
1019.058799	25.283262
1019.089653	27.247898
1019.120507	27.899276
1019.151363	29.470646
1019.182221	29.395247
1019.213080	32.939732
1019.243940	33.202645
1019.274802	32.977499
1019.305665	31.636530
1019.336529	37.649908
1019.367395	44.286448
1019.398263	48.175514
1019.429131	43.443813
1019.460002	33.778323
1019.490873	24.904577
1019.521746	23.766200
1019.552620	24.087603
1019.583496	21.111579
1019.614373	16.050443
1019.645252	15.882721
1019.676132	17.053212
1019.707013	23.975064
1019.737896	28.693571
1019.768780	34.442004
1019.799666	35.185680
1019.830553	29.699338
1019.861441	23.135565
1019.892331	17.839375
1019.923222	15.013287
1019.954115	16.994761
